,portfolio_value,daily_return,daily_turnover
2021-06-25,129406.184245,-0.007119,
2021-06-28,131956.880727,0.019711,
2021-06-29,131900.438778,-0.000428,
2021-06-30,131597.785598,-0.002295,
2021-07-01,132140.32767,0.004123,
2021-07-02,133619.991125,0.011198,
2021-07-06,133879.779881,0.001944,
2021-07-07,133363.665338,-0.003855,
2021-07-08,132783.881958,-0.004347,
2021-07-09,133025.496282,0.00182,
2021-07-12,134011.676684,0.007413,
2021-07-13,133514.195425,-0.003712,
2021-07-14,133132.003469,-0.002863,
2021-07-15,131224.556357,-0.014327,
2021-07-16,129827.590171,-0.010646,
2021-07-19,129370.24539,-0.003523,
2021-07-20,130839.753774,0.011359,
2021-07-21,130215.636868,-0.00477,
2021-07-22,131248.228371,0.00793,
2021-07-23,132432.35345,0.009022,
2021-07-26,131872.246557,-0.004229,
2021-07-27,131081.805367,-0.005994,
2021-07-28,130802.256985,-0.002133,
2021-07-29,129463.294441,-0.010237,
2021-07-30,128376.627192,-0.008394,
2021-08-02,128198.217338,-0.00139,
2021-08-03,128148.21911,-0.00039,
2021-08-04,128474.493832,0.002546,
2021-08-05,128232.947603,-0.00188,
2021-08-06,127361.76789,-0.006794,
2021-08-09,127969.406731,0.004771,
2021-08-10,127577.808438,-0.00306,
2021-08-11,127683.020549,0.000825,
2021-08-12,128262.355878,0.004537,
2021-08-13,128087.281547,-0.001365,
2021-08-16,126916.188794,-0.009143,
2021-08-17,125247.354479,-0.013149,
2021-08-18,124508.959564,-0.005895,
2021-08-19,125230.241446,0.005793,
2021-08-20,125507.792573,0.002216,
2021-08-23,124656.419639,-0.006783,
2021-08-24,123742.963262,-0.007328,
2021-08-25,124413.266925,0.005417,
2021-08-26,123680.292385,-0.005891,
2021-08-27,124643.749465,0.00779,
2021-08-30,124792.186737,0.001191,
2021-08-31,124119.948024,-0.005387,
2021-09-01,124380.498287,0.002099,
2021-09-02,123515.629801,-0.006953,
2021-09-03,124158.413502,0.005204,
2021-09-07,124565.727133,0.003281,
2021-09-08,123870.171917,-0.005584,
2021-09-09,123303.613508,-0.004574,
2021-09-10,122498.502024,-0.00653,
2021-09-13,121904.440408,-0.00485,
2021-09-14,122488.521881,0.004791,
2021-09-15,122706.7108,0.001781,
2021-09-16,122634.574255,-0.000588,
2021-09-17,121557.343723,-0.008784,
2021-09-20,118237.464712,-0.027311,
2021-09-21,118523.389155,0.002418,
2021-09-22,119236.329117,0.006015,
2021-09-23,118024.744697,-0.010161,
2021-09-24,118117.480372,0.000786,
2021-09-27,119033.674435,0.007757,
2021-09-28,118526.130719,-0.004264,
2021-09-29,118596.426332,0.000593,
2021-09-30,118505.396586,-0.000768,
2021-10-01,118421.501114,-0.000708,
2021-10-04,121334.840791,0.024601,
2021-10-05,119942.808531,-0.011473,
2021-10-06,118944.928088,-0.00832,
2021-10-07,118577.059858,-0.003093,
2021-10-08,119124.857935,0.00462,
2021-10-11,119272.088529,0.001236,
2021-10-12,119523.08417,0.002104,
